,precision,recall,f1-score,support
0,0.5576815901913431,0.669193045028979,0.6083696423143176,4486.0
1,0.9354838709677419,0.3543788187372709,0.5140324963072378,491.0
2,0.6410610665929815,0.5016216216216216,0.5628335759340126,4625.0
3,0.8099861303744799,0.7936743266617248,0.8017472698907957,8094.0
4,0.6132364192807958,0.5910766961651918,0.601952684941795,5424.0
5,0.8924536827835517,0.5505993866741009,0.6810344827586207,3587.0
6,0.5447143964848798,0.7538901806474692,0.6324555480531172,5591.0
accuracy,0.6599789460647718,0.6599789460647718,0.6599789460647718,0.6599789460647718
macro avg,0.7135167366679677,0.6020620107909084,0.6289179571714137,32298.0
weighted avg,0.6828578009646945,0.6599789460647718,0.6600379244610884,32298.0
