,precision,recall,f1-score,support
0,0.7631467345207803,0.8022737405260811,0.7822212562486416,4486.0
1,0.572538860103627,0.90020366598778,0.6999208234362628,491.0
2,0.741010101010101,0.7930810810810811,0.7661618798955613,4625.0
3,0.9445902595508895,0.800345935260687,0.866506153023007,8094.0
4,0.8239345673697804,0.7057522123893806,0.7602780536246275,5424.0
5,0.682784911717496,0.9487036520769445,0.7940730369851826,3587.0
6,0.8097542814594192,0.7780361294938294,0.7935784000729728,5591.0
accuracy,0.7978202984704935,0.7978202984704935,0.7978202984704935,0.7978202984704935
macro avg,0.7625371022474419,0.8183423452593975,0.7803913718980365,32298.0
weighted avg,0.8119011972484883,0.7978202984704935,0.7993897503949973,32298.0
